"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,prof-frontend,96,278847,91,15,22658215
2023-06-01,yandex,cpc,freemium,130,138240,126,26,3222082
2023-06-01,yandex,cpc,prof-java,61,196637,61,5,3058247
2023-06-01,yandex,cpc,prof-python,82,195909,81,12,2484947
2023-06-01,yandex,cpc,prof-data-analytics,17,52276,17,2,2247476
2023-06-01,yandex,cpc,base-python,37,32719,34,8,1137902
2023-06-01,yandex,cpc,base-frontend,54,111898,53,4,972360
2023-06-01,yandex,cpc,dod-frontend,10,10027,10,3,736540
2023-06-01,vk,cpc,prof-data-analytics,76,38592,56,5,706594
2023-06-01,yandex,cpc,base-java,26,32373,26,2,696000
2023-06-01,yandex,cpc,dod-php,6,13146,6,1,601020
2023-06-01,vk,cpc,freemium-frontend,126,139578,82,9,597747
2023-06-01,vk,cpc,prof-python,97,72512,66,7,588004
2023-06-01,yandex,cpc,prof-professions-brand,24,24688,23,4,542904
2023-06-01,vk,cpc,freemium-python,66,40180,45,3,498372
